SENIUNIJA,UEI_full
Senamiestis,1.0
Naujamiestis,0.8663871401458553
Paneriai,0.8005779052686873
Žvėrynas,0.6844788853640825
Justiniškės,0.6111144026209899
Žirmūnai,0.5558932107381068
Šnipiškės,0.5337042199366844
Antakalnis,0.5205004175074731
Viršuliškės,0.49847508115126626
Karoliniškės,0.4659392602561551
Naujininkai,0.36276820581827235
Rasos,0.3340760482742884
Šeškinė,0.3216256395853829
Fabijoniškės,0.31790447828962737
Pilaitė,0.18076112713936598
Lazdynai,0.17335506409240586
Pašilaičiai,0.17203775051477527
Verkiai,0.12020607455176102
Grigiškės,0.08320238189622736
Naujoji Vilnia,0.04939347249684027
Vilkpėdė,0.0
