SENIUNIJA,balanced_equity_index
Naujamiestis,0.6543659193620687
Antakalnis,0.5743603756704949
Žvėrynas,0.5464230344487699
Šnipiškės,0.5359349093188699
Senamiestis,0.5274949068907332
Viršuliškės,0.4244565134856906
Paneriai,0.38865965699477023
Justiniškės,0.38465175751798114
Žirmūnai,0.36404994120014866
Rasos,0.34189773200016
Karoliniškės,0.33412758905196416
Šeškinė,0.2687531554432958
Naujininkai,0.26068522120595006
Verkiai,0.23795624287385542
Fabijoniškės,0.23373163676239295
Pilaitė,0.23211422325088493
Lazdynai,0.22656767651313953
Grigiškės,0.1866746054929517
Pašilaičiai,0.18130860958912132
Vilkpėdė,0.17841282442211998
Naujoji Vilnia,0.1383047392414688
