Eldership,population,density,green_area_ha,health_count,education_count,culture_count,green_area_per_1000,health_per_1000,education_per_1000,culture_per_1000,% Elderly,Avg Monthly Income (€),Unemployment Rate (%),Population_Density_people_ha,Dwelling_Density_dwellings_ha,Gross_Density_dwellings_ha_net,Building_Height_Stories,Floor_Area_Ratio_FAR,Green_Space_Percent,Household_Size_people,Year,Source_Notes,PM2.5_µg_per_m3,NO2_µg_per_m3,Year_air,Source_Notes_air
Antakalnis,39242,509,11410.675546195474,23.0,38.0,11.0,290.7771149838305,0.5861067223892769,0.9683502369909792,0.280311910707915,31.5,1223,9.8,28.0,13.0,18.0,4.5,0.68,62.0,2.15,2024.0,Vilnius GIS + registry data,12.3,18.7,2024.0,Modeled from VU GFAI + Copernicus
Fabijoniškės,37006,6332,211.79640972959467,2.0,16.0,1.0,5.723299187418112,0.0540452899529806,0.4323623196238448,0.0270226449764903,24.8,1561,7.1,55.0,25.0,35.0,9,1.05,40.0,2.2,2024.0,Similar to Pašilaičiai,14.1,22.4,2024.0,Modeled from VU GFAI + Copernicus
Grigiškės,10336,1476,366.35088367243935,1.0,7.0,1.0,35.44416444199297,0.0967991397187,0.6773995004583852,0.096779835167375,30.4,1279,9.4,,,,,,,,,,13.5,19.2,2024.0,Modeled from VU GFAI + Copernicus
Justiniškės,25956,8721,20.375223640492973,5.0,14.0,1.0,0.784990893839304,0.1926336877793188,0.5393743257820928,0.0385267375558637,22.0,1700,6.0,48.0,22.0,30.0,9,0.95,45.0,2.2,2024.0,Soviet era,15.2,24.0,2024.0,Modeled from VU GFAI + Copernicus
Karoliniškės,24751,6584,176.3895853061136,3.0,17.0,1.0,7.126563989580768,0.1212072239505474,0.6868409357197689,0.0404024079835158,24.5,1576,7.0,50.0,23.0,32.0,9,1.0,44.0,2.2,2024.0,Soviet microdistrict,14.8,23.1,2024.0,Modeled from VU GFAI + Copernicus
Lazdynai,30945,3108,681.7962343352574,4.0,19.0,2.0,22.032516863314186,0.1292615931491355,0.6139925674583939,0.0646307965745677,28.5,1374,8.6,45.0,21.0,28.0,9,0.88,52.0,2.2,2024.0,Award-winning 1970s district,13.9,21.5,2024.0,Modeled from VU GFAI + Copernicus
Naujamiestis,28154,5737,44.59444221175444,18.0,34.0,27.0,1.5839469422374952,0.6393407686296796,1.2076436740782837,0.9590111529445194,25.5,1527,7.4,85.0,40.0,55.0,6-12,2.1,22.0,2.1,2024.0,Mixed pre-war + new infill,16.5,28.3,2024.0,Modeled from VU GFAI + Copernicus
Naujininkai,30030,5737,2258.082725890099,1.0,15.0,2.0,75.19422996637026,0.0333000333000333,0.4995004995004994,0.0666000666000666,25.5,1527,7.4,35.0,16.0,22.0,4,0.55,48.0,2.25,2024.0,Mixed low-rise + industrial,15.7,25.9,2024.0,Modeled from VU GFAI + Copernicus
Naujoji Vilnia,36506,947,2027.0587478036728,3.0,19.0,2.0,55.52672842282564,0.082178272064866,0.5204623897441516,0.0547855147099107,31.0,1248,9.6,,,,,,,,,,12.8,17.4,2024.0,Modeled from VU GFAI + Copernicus
Paneriai,8807,113,4148.822082080906,1.0,6.0,2.0,471.0823302010793,0.1135460429204042,0.6812762575224253,0.2270920858408084,32.0,1200,10.0,8.0,3.5,8.0,2,0.12,75.0,2.3,2024.0,Very low-density outskirts,9.4,12.6,2024.0,Modeled from VU GFAI + Copernicus
Pašilaičiai,40384,5092,48.52403659005155,5.0,11.0,3.0,1.2015658822813875,0.1238114104595879,0.2723851030110935,0.0230225872764903,26.2,1489,7.7,52.0,24.0,33.0,9,1.1,38.0,2.2,2024.0,Large Soviet microdistrict,14.6,22.8,2024.0,Modeled from VU GFAI + Copernicus
Pilaitė,28234,2031,1791.5598334785714,8.0,12.0,1.0,63.453985743379306,0.2833463200396685,0.4250194800595027,0.0354182900049585,29.8,1311,9.1,32.0,15.0,25.0,4-6,0.75,55.0,2.2,2024.0,Fast-growing suburb,11.2,16.3,2024.0,Modeled from VU GFAI + Copernicus
Rasos,10231,628,1071.4669731940912,2.0,11.0,1.0,104.72749224846947,0.1954843123839311,1.0751637181116216,0.0977421561919655,31.4,1230,9.8,,,,,,,,,,10.8,15.1,2024.0,Modeled from VU GFAI + Copernicus
Senamiestis,21780,4952,119.63845958358802,8.0,27.0,58.0,5.493042221468687,0.3673094582185491,1.2396694214876032,2.662993572084481,26.4,1481,7.8,,,,,,,,,,17.3,31.2,2024.0,Modeled from VU GFAI + Copernicus
Verkiai,50756,906,4137.088848394583,20.0,18.0,6.0,81.50935551254202,0.3940420836945386,0.3546378753250847,0.1182126251083615,31.1,1246,9.6,,,,,,,,,,11.5,17.9,2024.0,Modeled from VU GFAI + Copernicus
Vilkpėdė,19325,1797,1330.784049806347,2.0,10.0,5.0,68.86334022283813,0.1034928848641656,0.517464424320828,0.258732212160414,30.0,1298,9.2,,,,,,,,,,15.9,26.4,2024.0,Modeled from VU GFAI + Copernicus
Viršuliškės,13877,5459,79.7781116037835,3.0,14.0,1.0,5.7489451325058365,0.216185054406572,1.0088635872306695,0.0720616848021906,25.8,1511,7.5,58.0,27.0,38.0,9,1.2,35.0,2.2,2024.0,Dense panel housing,15.0,23.7,2024.0,Modeled from VU GFAI + Copernicus
Šeškinė,28137,6151,111.37831367159484,2.0,16.0,2.0,3.9584288897748463,0.071080783310232,0.5686462664818566,0.071080783310232,25.0,1551,7.2,62.0,29.0,40.0,9,1.3,32.0,2.2,2024.0,High-density Soviet,15.4,24.5,2024.0,Modeled from VU GFAI + Copernicus
Šnipiškės,16477,5298,21.79756192225947,10.0,14.0,3.0,1.3229084130763773,0.6069065970747102,0.8496692359045943,0.182071979122413,26.0,1501,7.6,95.0,44.0,62.0,5-16,2.8,15.0,2.15,2024.0,Rapid gentrification zone,18.1,33.0,2024.0,Modeled from VU GFAI + Copernicus
Žirmūnai,43453,7643,142.83119320079695,9.0,24.0,5.0,3.287027206425263,0.207120336915748,0.5523208984419947,0.1150668538420822,23.3,1637,6.5,68.0,31.0,42.0,9,1.45,28.0,2.2,2024.0,Classic Soviet panel district,16.2,27.8,2024.0,Modeled from VU GFAI + Copernicus
Žvėrynas,12089,4592,198.120986703406,5.0,15.0,1.0,16.388533931955163,0.4135991397137893,1.2407974191413682,0.0827198279427578,26.8,1460,7.9,,,,,,,,,,13.1,19.8,2024.0,Modeled from VU GFAI + Copernicus
