SENIUNIJA,population,density,green_area_ha,health_count,education_count,culture_count,green_area_per_1000,health_per_1000,education_per_1000,culture_per_1000,% Elderly,Avg Monthly Income (€),Unemployment Rate (%),Population_Density_people_ha,Dwelling_Density_dwellings_ha,Gross_Density_dwellings_ha_net,Building_Height_Stories,Floor_Area_Ratio_FAR,Green_Space_Percent,Household_Size_people,Year,Source_Notes,PM2.5_µg_per_m3,NO2_µg_per_m3,Year_air,Source_Notes_air,UEI_raw,vulnerability_penalty,UEI,UEI_normalized,employment_score,balanced_equity_index,equity_cluster
Antakalnis,39242,509,11410.675546195474,23.0,38.0,11.0,0.6166144263481417,0.9121609437500154,0.7186661325838215,0.09745914819216764,31.5,1223,9.8,28.0,13.0,18.0,4.5,0.68,62.0,2.15,2024.0,Vilnius GIS + registry data,12.3,18.7,2024.0,Modeled from VU GFAI + Copernicus,0.5923030154444576,0.057050000000000003,0.5352530154444576,1.0,0.05000000000000071,0.5743603756704948,0
Fabijoniškės,37006,6332,211.79640972959467,2.0,16.0,1.0,0.010500395985342087,0.0342307957924037,0.16519535527182466,0.0015151900240641964,24.8,1561,7.1,55.0,25.0,35.0,9,1.05,40.0,2.2,2024.0,Similar to Pašilaičiai,14.1,22.4,2024.0,Modeled from VU GFAI + Copernicus,0.044388426611795345,0.0443,8.842661179534611e-05,0.00016520525666150498,0.7250000000000014,0.23373163676239297,0
Grigiškės,10336,1476,366.35088367243935,1.0,7.0,1.0,0.07369629945006176,0.10477696088222083,0.4182251616395257,0.027938658536525232,30.4,1279,9.4,,,,,,,,,,13.5,19.2,2024.0,Modeled from VU GFAI + Copernicus,0.1396666759916791,0.05499999999999999,0.0846666759916791,0.15818066138567102,0.14999999999999858,0.18667460549295173,1
Justiniškės,25956,8721,20.375223640492973,5.0,14.0,1.0,0.0,0.2629091498158428,0.2756978802560818,0.00587284874288156,22.0,1700,6.0,48.0,22.0,30.0,9,0.95,45.0,2.2,2024.0,Soviet era,15.2,24.0,2024.0,Modeled from VU GFAI + Copernicus,0.10889597576296123,0.039,0.06989597576296122,0.13058492665365323,1.0,0.38465175751798114,0
Karoliniškės,24751,6584,176.3895853061136,3.0,17.0,1.0,0.013484178126720349,0.14505162033819125,0.427974557742945,0.006583337774179954,24.5,1576,7.0,50.0,23.0,32.0,9,1.0,44.0,2.2,2024.0,Soviet microdistrict,14.8,23.1,2024.0,Modeled from VU GFAI + Copernicus,0.12131557442175138,0.04375,0.07756557442175138,0.14491384856065373,0.75,0.33412758905196416,0
Lazdynai,30945,3108,681.7962343352574,4.0,19.0,2.0,0.04517892021412035,0.15834176525593682,0.3527500205824995,0.015760858561520756,28.5,1374,8.6,45.0,21.0,28.0,9,0.88,52.0,2.2,2024.0,Award-winning 1970s district,13.9,21.5,2024.0,Modeled from VU GFAI + Copernicus,0.12344209696563956,0.05134999999999999,0.07209209696563956,0.13468788570163684,0.3500000000000014,0.22656767651313953,0
Naujamiestis,28154,5737,44.59444221175444,18.0,34.0,27.0,0.001698831742435698,0.9999999999999998,0.9657648457058403,0.3545450200226747,25.5,1527,7.4,85.0,40.0,55.0,6-12,2.1,22.0,2.1,2024.0,Mixed pre-war + new infill,16.5,28.3,2024.0,Modeled from VU GFAI + Copernicus,0.46474150584267726,0.04565,0.41909150584267724,0.7829783181971923,0.6499999999999986,0.6543659193620686,2
Naujininkai,30030,5737,2258.082725890099,1.0,15.0,2.0,0.15821743576550457,0.0,0.23452344905829703,0.016506802375612382,25.5,1527,7.4,35.0,16.0,22.0,4,0.55,48.0,2.25,2024.0,Mixed low-rise + industrial,15.7,25.9,2024.0,Modeled from VU GFAI + Copernicus,0.1134930245929837,0.04565,0.06784302459298369,0.12674944864467308,0.6499999999999986,0.26068522120595006,0
Naujoji Vilnia,36506,947,2027.0587478036728,3.0,19.0,2.0,0.11639814422429502,0.08065173826681163,0.2561690744747672,0.012031544140524169,31.0,1248,9.6,,,,,,,,,,12.8,17.4,2024.0,Modeled from VU GFAI + Copernicus,0.11632972906613862,0.0561,0.06022972906613862,0.11252571648965995,0.10000000000000142,0.13830473924146883,1
Paneriai,8807,113,4148.822082080906,1.0,6.0,2.0,0.9999999999999999,0.13241025716979626,0.42222837080928466,0.07729990205902221,32.0,1200,10.0,8.0,3.5,8.0,2,0.12,75.0,2.3,2024.0,Very low-density outskirts,9.4,12.6,2024.0,Modeled from VU GFAI + Copernicus,0.5263877060076206,0.058,0.46838770600762064,0.8750771924539014,0.0,0.38865965699477023,1
Pašilaičiai,40384,5092,48.52403659005155,5.0,11.0,3.0,0.0008857693923076601,0.1493486689641784,0.0,0.0,26.2,1489,7.7,52.0,24.0,33.0,9,1.1,38.0,2.2,2024.0,Large Soviet microdistrict,14.6,22.8,2024.0,Modeled from VU GFAI + Copernicus,0.030224041549758746,0.047,0.0,0.0,0.5749999999999993,0.18130860958912134,0
Pilaitė,28234,2031,1791.5598334785714,8.0,12.0,1.0,0.13325398553573156,0.41258990058420153,0.15761300688360536,0.0046953935478081625,29.8,1311,9.1,32.0,15.0,25.0,4-6,0.75,55.0,2.2,2024.0,Fast-growing suburb,11.2,16.3,2024.0,Modeled from VU GFAI + Copernicus,0.16828125441741565,0.0538,0.11448125441741565,0.2138825025065089,0.22500000000000142,0.23211422325088496,0
Rasos,10231,628,1071.4669731940912,2.0,11.0,1.0,0.22101443633030143,0.26761283463178465,0.8289636570385532,0.028303178082432476,31.4,1230,9.8,,,,,,,,,,10.8,15.1,2024.0,Modeled from VU GFAI + Copernicus,0.31338170848267466,0.0569,0.25648170848267465,0.47917844660753595,0.05000000000000071,0.34189773200016,1
Senamiestis,21780,4952,119.63845958358802,8.0,27.0,58.0,0.010010797285318396,0.5511336209715946,0.9988352093060191,0.9999999999999999,26.4,1481,7.8,,,,,,,,,,17.3,31.2,2024.0,Modeled from VU GFAI + Copernicus,0.5139980849696502,0.047400000000000005,0.46659808496965016,0.8717336876321967,0.5500000000000007,0.5274949068907332,1
Verkiai,50756,906,4137.088848394583,20.0,18.0,6.0,0.1716453780870029,0.595243899237706,0.08493569417071128,0.036057228802760695,31.1,1246,9.6,,,,,,,,,,11.5,17.9,2024.0,Modeled from VU GFAI + Copernicus,0.21190551567703678,0.056249999999999994,0.15565551567703678,0.29080735873628893,0.10000000000000142,0.23795624287385542,1
Vilkpėdė,19325,1797,1330.784049806347,2.0,10.0,5.0,0.144755973804317,0.11582200250277236,0.25307332138139127,0.08928493011489186,30.0,1298,9.2,,,,,,,,,,15.9,26.4,2024.0,Modeled from VU GFAI + Copernicus,0.1495384403215379,0.0542,0.0953384403215379,0.17811845532971318,0.1999999999999993,0.17841282442211998,1
Viršuliškės,13877,5459,79.7781116037835,3.0,14.0,1.0,0.01055492732741921,0.3017701788759485,0.7605009477393945,0.018575619886696218,25.8,1511,7.5,58.0,27.0,38.0,9,1.2,35.0,2.2,2024.0,Dense panel housing,15.0,23.7,2024.0,Modeled from VU GFAI + Copernicus,0.22039132023137553,0.0462,0.17419132023137554,0.32543734496616045,0.625,0.4244565134856905,0
Šeškinė,28137,6151,111.37831367159484,2.0,16.0,2.0,0.006747726875533886,0.0623402814493129,0.3059246134483371,0.018204062207614398,25.0,1551,7.2,62.0,29.0,40.0,9,1.3,32.0,2.2,2024.0,High-density Soviet,15.4,24.5,2024.0,Modeled from VU GFAI + Copernicus,0.07999288217126645,0.044700000000000004,0.03529288217126644,0.06593682081727334,0.6999999999999993,0.2687531554432958,2
Šnipiškės,16477,5298,21.79756192225947,10.0,14.0,3.0,0.0011437817616179575,0.9464818622508477,0.5961139932630124,0.0602466439067665,26.0,1501,7.6,95.0,44.0,62.0,5-16,2.8,15.0,2.15,2024.0,Rapid gentrification zone,18.1,33.0,2024.0,Modeled from VU GFAI + Copernicus,0.32102601258877256,0.0466,0.2744260125887725,0.512703347146765,0.6000000000000014,0.5359349093188699,2
Žirmūnai,43453,7643,142.83119320079695,9.0,24.0,5.0,0.005320115814968297,0.28681290461633385,0.28906674436928903,0.034865635681327924,23.3,1637,6.5,68.0,31.0,42.0,9,1.45,28.0,2.2,2024.0,Classic Soviet panel district,16.2,27.8,2024.0,Modeled from VU GFAI + Copernicus,0.12427710325937749,0.04145,0.08282710325937749,0.15474383304613504,0.8750000000000036,0.36404994120014866,2
Žvėrynas,12089,4592,198.120986703406,5.0,15.0,1.0,0.03317803809202977,0.6275140997030476,1.0,0.02261283969020946,26.8,1460,7.9,,,,,,,,,,13.1,19.8,2024.0,Modeled from VU GFAI + Copernicus,0.34329660311546334,0.048100000000000004,0.29519660311546336,0.5515085288596482,0.5250000000000021,0.5464230344487699,1
