SENIUNIJA,UEI_normalized
Antakalnis,1.0
Paneriai,0.8750771924539014
Senamiestis,0.8717336876321967
Naujamiestis,0.7829783181971923
Žvėrynas,0.551508528859648
Šnipiškės,0.512703347146765
Rasos,0.47917844660753595
Viršuliškės,0.32543734496616045
Verkiai,0.2908073587362889
Pilaitė,0.21388250250650878
Vilkpėdė,0.17811845532971313
Grigiškės,0.15818066138567094
Žirmūnai,0.15474383304613495
Karoliniškės,0.14491384856065367
Lazdynai,0.13468788570163676
Justiniškės,0.13058492665365323
Naujininkai,0.12674944864467305
Naujoji Vilnia,0.11252571648965991
Šeškinė,0.06593682081727321
Fabijoniškės,0.00016520525666138832
Pašilaičiai,0.0
